full_name,Player ID,teamID,first_name,second_name,goals_scored,assists,total_points,avg_points_per_game,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,cost,position,in_season_dreamteam,True_season_value
Bernd Leno,2,1,Bernd,Leno,0,0,10,2.5,360,9,0.0,85.0,0.0,0,69,8.5,1,0,0,0.8,4.5,GK,False,2.2
Willian Borges da Silva,614,1,Willian,Borges Da Silva,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,6.3,MID,False,0.0
Pierre-Emerick Aubameyang,617,1,Pierre-Emerick,Aubameyang,4,1,44,3.1,1036,16,132.4,217.6,582.0,7,131,92.9,6,0,3,1.2,9.6,FWD,False,4.6
Cédric Alves Soares,1,1,Cédric,Soares,1,1,48,2.3,1481,27,306.5,246.0,76.0,3,292,63.0,3,0,3,0.4,4.2,DEF,False,11.4
Granit Xhaka,3,1,Granit,Xhaka,1,2,60,2.2,2327,38,489.6,382.2,253.0,3,334,112.6,6,1,10,0.4,4.8,MID,False,12.5
Pablo Marí Villar,20,1,Pablo,Marí,0,0,1,0.5,180,4,12.3,55.4,11.0,0,35,7.9,0,0,1,0.1,4.2,DEF,False,0.2
Mohamed Elneny,4,1,Mohamed Naser,El Sayed Elneny,0,2,27,1.9,801,17,124.5,147.8,40.0,0,156,31.3,0,0,1,0.4,4.4,MID,False,6.1
Ainsley Maitland-Niles,21,1,Ainsley,Maitland-Niles,0,0,12,1.5,263,4,41.3,42.6,9.0,0,44,9.3,2,0,0,0.0,5.2,MID,False,2.3
Rob Holding,5,1,Rob,Holding,1,0,29,1.9,840,16,6.9,242.4,49.0,2,152,29.9,2,1,2,0.8,4.1,DEF,False,7.1
Thomas Partey,6,1,Thomas,Partey,2,2,71,3.0,2027,25,275.5,359.6,394.0,4,345,103.0,10,0,6,0.2,5.0,MID,False,14.2
Kieran Tierney,8,1,Kieran,Tierney,1,3,106,4.8,1916,21,335.9,365.2,198.0,11,454,90.1,11,0,0,4.7,4.9,DEF,False,21.6
Nicolas Pépé,9,1,Nicolas,Pépé,1,4,45,2.2,681,9,204.8,127.4,391.0,1,127,72.0,2,0,0,0.7,6.9,MID,False,6.5
Lucas Torreira di Pascua,22,1,Lucas,Torreira,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,4.5,MID,False,0.0
Emile Smith Rowe,12,1,Emile,Smith Rowe,10,2,125,3.8,1909,28,453.3,555.8,576.0,9,435,158.4,8,0,1,10.0,5.7,MID,False,21.9
Bukayo Saka,13,1,Bukayo,Saka,11,9,179,4.7,2978,39,942.5,774.2,1404.0,18,566,311.8,13,0,6,28.8,6.7,MID,False,26.7
Gabriel dos Santos Magalhães,16,1,Gabriel,Magalhães,5,0,146,4.2,3063,38,129.3,703.0,453.0,16,682,128.4,13,1,6,7.4,5.3,DEF,False,27.5
