Player ID,name,team_stregnth,position,team,cost,minutes,total_points,assists,bonus,clean_sheets,goals_scored,goals_conceded,saves,yellow_cards,red_cards,penalties_saved,ict_index,threat,creativity,influence,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
1,Cédric Alves Soares,3,DEF,Fulham,4.2,223,10,0,0,0,0,3,0,0,0,0,0.2605263157894737,0.23684210526315788,1.1500000000000001,1.1921052631578948,0.0015789473684210526,0.004736842105263157,0.00631578947368421,0.07342105263157894
2,Bernd Leno,3,GK,Fulham,4.6,3240,142,0,17,8,0,51,144,3,0,1,2.5842105263157893,0.0,0.2631578947368421,25.56315789473684,0.0,0.0002423684210526316,0.0002423684210526316,1.0225815789473682
3,Granit Xhaka,4,MID,Arsenal,4.8,2992,153,8,15,13,7,35,0,4,0,0,4.634210526315789,12.842105263157896,16.889473684210532,16.571052631578947,0.08346578947368422,0.06347894736842105,0.13615526315789475,0.666207894736842
4,Mohamed Elneny,4,MID,Arsenal,4.1,111,6,0,0,0,0,2,0,0,0,0,0.028947368421052635,0.0,0.14210526315789473,0.12105263157894738,0.0,1.9473684210526315e-05,1.9473684210526315e-05,0.012160526315789474
5,Rob Holding,4,DEF,Arsenal,4.2,562,21,0,0,0,1,13,0,0,0,0,0.5684210526315789,1.4210526315789473,0.2710526315789473,4.000000000000001,0.008421052631578947,0.003947368421052633,0.012105263157894737,0.28948684210526315
6,Thomas Partey,4,MID,Arsenal,4.7,2480,86,0,6,11,3,28,0,5,0,0,2.96578947368421,6.25,10.430263157894737,12.926315789473684,0.04056842105263159,0.043197105263157905,0.08350236842105263,0.6238605263157894
7,Martin Ødegaard,4,MID,Arsenal,6.9,3132,212,8,30,13,15,38,0,4,0,0,7.507894736842107,23.355263157894736,27.33026315789473,24.32368421052632,0.17825526315789475,0.13473184210526318,0.30614500000000006,0.7310078947368419
8,Kieran Tierney,4,DEF,Arsenal,4.6,774,37,1,0,1,0,10,0,0,0,0,0.7736842105263159,1.736842105263158,2.1921052631578943,3.736842105263159,0.003157894736842105,0.005518684210526315,0.00867657894736842,0.23291052631578948
9,Nicolas Pépé,4,MID,Arsenal,5.3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Benjamin White,4,DEF,Arsenal,5.0,3054,156,5,12,15,2,35,0,5,0,0,3.2578947368421054,4.0,12.086842105263159,16.47631578947368,0.025726315789473684,0.07409052631578947,0.08007999999999997,0.7019526315789474
11,Eddie Nketiah,4,FWD,Arsenal,6.3,1071,63,2,5,2,4,16,0,3,0,0,2.289473684210527,14.894736842105264,2.944736842105263,5.228947368421053,0.18937894736842104,0.029976842105263163,0.21935578947368423,0.3519973684210526
12,Emile Smith Rowe,4,MID,Arsenal,5.6,161,18,2,0,0,0,5,0,0,0,0,0.3526315789473684,0.9342105263157895,1.6789473684210525,0.9605263157894737,0.004210526315789474,0.009473684210526315,0.01368421052631579,0.05552631578947368
13,Bukayo Saka,4,MID,Arsenal,8.0,3183,202,12,19,12,14,42,0,6,0,0,8.022368421052631,28.92105263157895,27.444736842105254,23.86052631578947,0.18080263157894735,0.11035421052631579,0.2908936842105263,0.7633868421052632
14,Takehiro Tomiyasu,4,DEF,Arsenal,4.2,651,32,1,0,2,0,11,0,2,0,0,0.7065789473684209,1.368421052631579,2.1763157894736844,3.5578947368421048,0.004210526315789474,0.002490263157894737,0.006437631578947369,0.10690263157894737
15,Aaron Ramsdale,4,GK,Arsenal,4.8,3420,143,0,9,14,0,43,94,1,0,0,1.9131578947368417,0.0,0.0,19.11578947368421,0.0,0.00042605263157894735,0.00042605263157894735,0.812071052631579
16,Gabriel dos Santos Magalhães,4,DEF,Arsenal,5.2,3409,146,0,15,14,3,43,0,5,0,0,3.190789473684211,10.381578947368421,3.1249999999999996,18.40263157894737,0.07510263157894738,0.012375263157894736,0.07721473684210525,0.7997026315789474
17,Nuno Varela Tavares,4,DEF,Arsenal,4.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Albert Sambi Lokonga,3,MID,Crystal Palace,4.3,728,23,0,0,2,0,8,0,2,0,0,0.4171052631578947,0.5263157894736842,1.4039473684210526,2.236842105263159,0.004473684210526316,0.002894736842105263,0.007368421052631578,0.16710526315789476
19,Gabriel Martinelli Silva,4,MID,Arsenal,6.5,2789,198,9,18,14,15,33,0,3,0,0,7.467105263157895,32.473684210526315,21.41842105263158,20.807894736842105,0.16305,0.11127657894736842,0.2530107894736842,0.6563921052631578
20,Pablo Marí Villar,4,DEF,Arsenal,4.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Ainsley Maitland-Niles,2,MID,Southampton,4.8,1400,38,1,0,3,0,31,0,3,0,0,1.176315789473684,0.5,4.1078947368421055,7.2105263157894735,0.0005263157894736842,0.016190526315789475,0.016453684210526315,0.4590026315789474
22,Lucas Torreira di Pascua,4,MID,Arsenal,4.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Reiss Nelson,4,MID,Arsenal,4.7,202,42,3,5,1,3,3,0,0,0,0,1.1157894736842109,4.078947368421052,2.610526315789473,4.4684210526315775,0.012105263157894739,0.02210526315789474,0.034210526315789476,0.046578947368421046
24,Matt Turner,4,GK,Arsenal,3.8,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Fábio Ferreira Vieira,4,MID,Arsenal,5.6,500,40,2,2,2,1,5,0,0,0,0,1.0605263157894735,3.0,4.677631578947367,3.0105263157894733,0.015544736842105264,0.03199815789473684,0.04727973684210527,0.10343684210526316
